"","x"
"833","1648253189181829122"
"834","1648604380747165696"
"835","1648604222844280832"
"836","1648603225900154881"
"837","1648602418244907008"
"838","1648602376142479360"
"839","1648601834892689408"
"840","1648601141914251264"
"841","1648600905015521281"
"842","1648600193401487360"
"843","1648600193401487360"
"844","1648600179535147010"
"845","1648600051558621184"
"846","1648599784511397890"
"847","1648599724235038723"
"848","1648599441127923714"
"849","1648598886901063681"
"850","1648598861332578304"
"851","1648598508918788098"
"852","1648598144224043008"
"853","1648598116952596481"
"854","1648597979312390144"
"855","1648597113893158912"
"856","1648596789090557953"
"857","1648596734468136960"
"858","1648596635058831360"
"859","1648595043744137218"
"860","1648594057654878211"
"861","1648593823411445760"
"862","1648593570092253189"
"863","1648592890149388288"
"864","1648592264938106880"
"865","1648368809785405443"
"866","1648588713318858752"
"867","1648591457324810242"
"868","1648591245604708352"
"869","1648563421376569344"
"870","1648591111747694593"
"871","1648590817177526273"
"872","1648590469507547138"
"873","1648589708803407872"
"874","1648589575084818433"
"875","1648589533347295234"
"876","1648589228605857793"
"877","1648588521672720385"
"878","1648587434395934721"
"879","1648587330507223040"
"880","1648585100613898240"
"881","1648583621253505026"
"882","1648582529618702341"
"883","1648581829262278656"
"884","1648580835065356288"
"885","1648579370867458049"
"886","1648579315934584833"
"887","1648578649652707328"
"888","1648577961040261120"
"889","1648577108094902273"
"890","1648576473014345728"
"891","1648574916256514048"
"892","1648573422107082754"
"893","1648572976474849282"
"894","1648572777962815490"
"895","1648572496159948800"
"896","1648568517405310978"
"897","1648567272179466241"
"898","1648566085614985217"
"899","1648565893331402753"
"900","1648565802117767170"
"901","1648565770186530816"
"902","1648564096416055297"
"903","1648563916698533890"
"904","1648563421376569344"
"905","1648562996304551936"
"906","1648562726925484034"
"907","1648562701252145153"
"908","1648561177847373825"
"909","1648559467322114048"
"910","1648558993197916161"
"911","1648558884984963078"
"912","1648253189181829122"
"913","1648557478173343744"
"914","1648557265610219523"
"915","1648555745913323520"
"916","1648554923758436352"
"917","1648553520428199938"
"918","1648552862824165380"
"919","1648551514116431878"
"920","1648424582251155456"
"921","1648549102571999232"
"922","1648311389876805633"
"923","1648548081196060672"
"924","1648547821832765441"
"925","1648546845461757954"
"926","1648546556621078530"
"927","1648546470369325059"
"928","1648545747468533761"
"929","1648545358107033601"
"930","1648541595036266496"
"931","1648541362352971778"
"932","1648540106645446657"
"933","1648539390606553088"
"934","1648537925204815872"
"935","1648536245759254529"
"936","1648531400037920768"
"937","1648530720502202369"
"938","1648530366804705280"
"939","1648334487770505221"
"940","1648528054078287873"
"941","1648523329014480899"
"942","1648522700061822978"
"943","1648522645024153601"
"944","1648513342095659009"
"945","1648511929265328129"
"946","1648509734969020417"
"947","1648507953094479872"
"948","1648504217756393474"
"949","1648502946399911943"
"950","1648486134828396544"
"951","1648484417487376384"
"952","1648253189181829122"
"953","1648475856594169858"
"954","1648475642143580161"
"955","1648468883207254016"
"956","1648468240946044928"
"957","1648467241401479170"
"958","1648466256721477633"
"959","1648464462880587783"
"960","1648463971245240322"
"961","1648461058108194817"
"962","1648460898921754625"
"963","1648460797390249986"
"964","1648458608554971147"
"965","1648453293298044929"
"966","1648451695847022592"
"967","1648450980198100993"
"968","1648450718817464322"
"969","1648450701583060998"
"970","1648449490335207424"
"971","1648449469556592640"
"972","1648449206359838721"
"973","1648449076214763521"
"974","1648448826884366339"
"975","1648448573909127168"
"976","1648446637075988483"
"977","1648445803357421568"
"978","1648445666610540546"
"979","1648443404358131714"
"980","1648443316231622656"
"981","1648442872671387648"
"982","1648351865266905095"
"983","1648442220163506177"
"984","1648441509933621248"
"985","1648441348352274438"
"986","1648441283336343552"
"987","1648440731919593475"
"988","1648440530291003395"
"989","1648440319703400449"
"990","1648440165600464900"
"991","1648440115109453826"
"992","1648439627282542592"
"993","1648392794522656777"
"994","1648438303304318976"
"995","1648436915866341378"
"996","1648436365510713344"
"997","1648433628379250690"
"998","1648433548515512320"
"999","1648433187260080128"
"1000","1648432870585925632"
"1001","1648432139950780416"
"1002","1648431085712465921"
"1003","1648429735444353024"
"1004","1648429375388536833"
"1005","1648368809785405443"
"1006","1648427105565429761"
"1007","1648426554656182273"
"1008","1648425465810661376"
"1009","1648424336624357376"
"1010","1648424143128502274"
"1011","1648424101533585411"
"1012","1648424010571722755"
"1013","1648423797681459202"
"1014","1648422547975983104"
"1015","1648421506060550145"
"1016","1648420521753866241"
"1017","1648419742989025281"
"1018","1648417552920371203"
"1019","1648417509668790273"
"1020","1648417501754150922"
"1021","1648417352780857345"
"1022","1648417095758106631"
"1023","1648416344512012288"
"1024","1648416080543588357"
"1025","1648415318820151297"
"1026","1648415005333651458"
"1027","1648414469859467270"
"1028","1648414194050514945"
"1029","1648413165456089088"
"1030","1648413039526309891"
"1031","1648412231871213574"
"1032","1648411654428786689"
"1033","1648411386190479364"
"1034","1648411288467390465"
"1035","1648410884992122881"
"1036","1648410466648211456"
"1037","1648410357784801282"
"1038","1648409848843841538"
"1039","1648408747696439298"
"1040","1648407786764607492"
"1041","1648407313496023042"
"1042","1648407205983518723"
"1043","1648407056859160580"
"1044","1648032528102486023"
"1045","1648405922434121732"
"1046","1648405835020738562"
"1047","1648319463891120128"
"1048","1648404494021980168"
"1049","1648404249624346635"
"1050","1648403761881030659"
"1051","1648403551432114181"
"1052","1648403303565348867"
"1053","1648402652794093574"
"1054","1648401211811409921"
"1055","1648400830213529601"
"1056","1648161506222120961"
"1057","1648399902815453184"
"1058","1648399658920841217"
"1059","1648399057243590656"
"1060","1648398996891639827"
"1061","1648398482766712833"
"1062","1648398117698519040"
"1063","1648394666424029184"
"1064","1648394631770513408"
"1065","1648253189181829122"
"1066","1648394267675467782"
"1067","1648394145201831937"
"1068","1648393271276650496"
"1069","1648390380499378197"
"1070","1648390263541321728"
"1071","1648389953695481856"
"1072","1648389912482160653"
"1073","1648389665882271744"
"1074","1648389527008837632"
"1075","1648319463891120128"
"1076","1648388382479843328"
"1077","1648388350171029505"
"1078","1648387307806810112"
"1079","1648387256317620226"
"1080","1648387222263984128"
"1081","1648387183974252544"
"1082","1648387032392015879"
"1083","1648387011537956865"
"1084","1648331709018931200"
"1085","1648331709018931200"
"1086","1648386464177176576"
"1087","1648386422951256071"
"1088","1648385932045819904"
"1089","1648385413952815106"
"1090","1648385163502530561"
"1091","1648385090332893188"
"1092","1648385009244426240"
"1093","1648384209952579584"
"1094","1648384101789908992"
"1095","1648383885598760961"
"1096","1648383041574674433"
"1097","1648382832857808896"
"1098","1648382475087781889"
"1099","1647931670304284674"
"1100","1648381519738679302"
"1101","1648381381624451072"
"1102","1648380066638831616"
"1103","1648380038235013147"
"1104","1648379437442908174"
"1105","1648379112237547536"
"1106","1648377578456006656"
"1107","1648364501102739460"
"1108","1648376641175928835"
"1109","1648376574377443342"
"1110","1648376519457226794"
"1111","1648376152963137557"
"1112","1648375572005896211"
"1113","1648331709018931200"
"1114","1648375164499902481"
"1115","1648374320794673153"
"1116","1648374248719765504"
"1117","1648374082423996417"
"1118","1648373953998495745"
"1119","1648373026021425154"
"1120","1648371838936924173"
"1121","1648371501995810817"
"1122","1648370877128491021"
"1123","1648370411095162880"
"1124","1648369688567595010"
"1125","1648369439795036169"
"1126","1648368276286652416"
"1127","1648367530082287628"
"1128","1648366462854217741"
"1129","1648366422454665222"
"1130","1648366060838567938"
"1131","1648364908172681217"
"1132","1648350819379445765"
"1133","1648363973450821632"
"1134","1648363067112148998"
"1135","1648362854288949248"
"1136","1648362433558335488"
"1137","1648361324554878978"
"1138","1648361234612334592"
"1139","1648361092127805443"
"1140","1648360829320937477"
"1141","1648360411350155273"
"1142","1648360083628212237"
"1143","1648359459935117312"
"1144","1648359425382526977"
"1145","1648359389328207872"
"1146","1648359366091849732"
"1147","1648359354955907072"
"1148","1648348461375410178"
"1149","1648358660597243911"
"1150","1648358387543834624"
"1151","1648358034026946561"
"1152","1648357871472582658"
